year,month,day,rmm1,rmm2,amplitude
1979.0,1.0,1.0,0.06766901165246964,0.07654686272144318,0.10216905921697617
1979.0,1.0,2.0,0.0542752705514431,0.06937062740325928,0.0880800113081932
1979.0,1.0,3.0,0.04754199460148811,0.058864664286375046,0.07566564530134201
1979.0,1.0,4.0,0.048596207052469254,0.04782111570239067,0.06817954778671265
1979.0,1.0,5.0,0.05718023329973221,0.039124276489019394,0.0692841112613678
1979.0,1.0,6.0,0.0716860368847847,0.03525427356362343,0.07988587021827698
1979.0,1.0,7.0,0.08942081779241562,0.037858013063669205,0.09710463881492615
1979.0,1.0,8.0,0.10705943405628204,0.04746133089065552,0.1171080693602562
1979.0,1.0,9.0,0.12120699137449265,0.0633719190955162,0.13677403330802917
1979.0,1.0,10.0,0.12897591292858124,0.08379007875919342,0.15380364656448364
1979.0,1.0,11.0,0.1284789890050888,0.10610870271921158,0.1666310578584671
1979.0,1.0,12.0,0.11915378272533417,0.12735141813755035,0.17440186440944672
1979.0,1.0,13.0,0.10186266899108887,0.14467398822307587,0.17693661153316498
1979.0,1.0,14.0,0.07875064015388489,0.1558430790901184,0.1746102273464203
1979.0,1.0,15.0,0.05288466066122055,0.15961046516895294,0.16814365983009338
1979.0,1.0,16.0,0.02773572877049446,0.15591825544834137,0.15836594998836517
1979.0,1.0,17.0,0.006591907236725092,0.14590027928352356,0.1460491269826889
1979.0,1.0,18.0,-0.007997330278158188,0.13167928159236908,0.1319219022989273
1979.0,1.0,19.0,-0.014650242403149605,0.11599507927894592,0.11691658943891525
1979.0,1.0,20.0,-0.013381697237491608,0.10172811895608902,0.10260448604822159
1979.0,1.0,21.0,-0.005592298693954945,0.09140051901340485,0.09157144278287888
1979.0,1.0,22.0,0.0061806365847587585,0.08674120157957077,0.08696112036705017
1979.0,1.0,23.0,0.01870759390294552,0.08839035779237747,0.09034837782382965
1979.0,1.0,24.0,0.028630411252379417,0.09579425305128098,0.09998119622468948
1979.0,1.0,25.0,0.03304768726229668,0.10730889439582825,0.11228245496749878
1979.0,1.0,26.0,0.03002071939408779,0.12049397826194763,0.1241774633526802
1979.0,1.0,27.0,0.018912166357040405,0.13254603743553162,0.13388846814632416
1979.0,1.0,28.0,0.000498245470225811,0.14079466462135315,0.1407955437898636
1979.0,1.0,29.0,-0.023165635764598846,0.14317485690116882,0.14503684639930725
1979.0,1.0,30.0,-0.04910300299525261,0.1385919451713562,0.1470334380865097
1979.0,1.0,31.0,-0.07393645495176315,0.1271146535873413,0.14705350995063782
1979.0,2.0,1.0,-0.1030428409576416,0.1009729653596878,0.14426837861537933
1979.0,2.0,2.0,-0.11645353585481644,0.08020798116922379,0.14140278100967407
1979.0,2.0,3.0,-0.1218191459774971,0.05875733867287636,0.13524913787841797
1979.0,2.0,4.0,-0.11936713010072708,0.039348453283309937,0.12568536400794983
1979.0,2.0,5.0,-0.11070079356431961,0.0242508202791214,0.11332593858242035
1979.0,2.0,6.0,-0.09851296246051788,0.014860691502690315,0.0996275246143341
1979.0,2.0,7.0,-0.0861009955406189,0.011440672911703587,0.08685775846242905
1979.0,2.0,8.0,-0.07676701247692108,0.013063579797744751,0.07787060737609863
1979.0,2.0,9.0,-0.07320825010538101,0.01777392253279686,0.07533498853445053
1979.0,2.0,10.0,-0.0770065188407898,0.02294185571372509,0.08035130798816681
1979.0,2.0,11.0,-0.08830966055393219,0.02574937790632248,0.09198710322380066
1979.0,2.0,12.0,-0.10576595366001129,0.02372366189956665,0.10839395225048065
1979.0,2.0,13.0,-0.12672899663448334,0.015221952460706234,0.12763990461826324
1979.0,2.0,14.0,-0.1477028727531433,-0.00022126011026557535,0.14770303666591644
1979.0,2.0,15.0,-0.1649543195962906,-0.021751800552010536,0.166382297873497
1979.0,2.0,16.0,-0.17518724501132965,-0.047290630638599396,0.18145792186260223
1979.0,2.0,17.0,-0.17616097629070282,-0.07385701686143875,0.19101715087890625
1979.0,2.0,18.0,-0.16714037954807281,-0.0980704054236412,0.19378779828548431
1979.0,2.0,19.0,-0.14909183979034424,-0.1167479008436203,0.1893632709980011
1979.0,2.0,20.0,-0.12458141148090363,-0.12749449908733368,0.17825649678707123
1979.0,2.0,21.0,-0.09738198667764664,-0.12918071448802948,0.16177424788475037
1979.0,2.0,22.0,-0.07184746116399765,-0.12221797555685043,0.14177195727825165
1979.0,2.0,23.0,-0.05215448886156082,-0.1085740327835083,0.12045086920261383
1979.0,2.0,24.0,-0.041539065539836884,-0.09151344001293182,0.10049977153539658
1979.0,2.0,25.0,-0.04166083410382271,-0.07509507983922958,0.08587720990180969
1979.0,2.0,26.0,-0.052211109548807144,-0.06350187957286835,0.08221002668142319
1979.0,2.0,27.0,-0.0708434134721756,-0.06030939519405365,0.0930376872420311
1979.0,2.0,28.0,-0.0934532955288887,-0.06781502068042755,0.11546599119901657
1979.0,3.0,1.0,-0.09558259695768356,-0.07658565789461136,0.12248018383979797
1979.0,3.0,2.0,-0.1107768714427948,-0.10450126230716705,0.15228930115699768
1979.0,3.0,3.0,-0.11417732387781143,-0.13901875913143158,0.1798962950706482
1979.0,3.0,4.0,-0.10210665315389633,-0.17534635961055756,0.20290914177894592
1979.0,3.0,5.0,-0.0730612576007843,-0.20783518254756927,0.2203029990196228
1979.0,3.0,6.0,-0.028116241097450256,-0.23081426322460175,0.23252041637897491
1979.0,3.0,7.0,0.029060490429401398,-0.23947158455848694,0.24122841656208038
1979.0,3.0,8.0,0.09260258823633194,-0.23064278066158295,0.24853838980197906
