year,month,day,rmm1,rmm2,amplitude
1900.0,1.0,1.0,0.04230807349085808,0.008289897814393044,0.04311259090900421
1900.0,1.0,2.0,0.03308023139834404,0.019014060497283936,0.03815542161464691
1900.0,1.0,3.0,0.022175977006554604,0.024547871202230453,0.0330812931060791
1900.0,1.0,4.0,0.011592193506658077,0.02464662492275238,0.02723664976656437
1900.0,1.0,5.0,0.0032442351803183556,0.01999141275882721,0.02025294117629528
1900.0,1.0,6.0,-0.0013659462565556169,0.012068841606378555,0.012145894579589367
1900.0,1.0,7.0,-0.0014101348351687193,0.002911292016506195,0.003234826261177659
1900.0,1.0,8.0,0.003122468711808324,-0.005257295910269022,0.006114651914685965
1900.0,1.0,9.0,0.01142312865704298,-0.010408827103674412,0.015454175882041454
1900.0,1.0,10.0,0.02200344018638134,-0.011064527556300163,0.02462874725461006
1900.0,1.0,11.0,0.032952990382909775,-0.006553279235959053,0.033598288893699646
1900.0,1.0,12.0,0.04227016493678093,0.002869976218789816,0.04236748069524765
1900.0,1.0,13.0,0.04820885881781578,0.016066275537014008,0.05081554129719734
1900.0,1.0,14.0,0.049580954015254974,0.03120788373053074,0.05858500674366951
1900.0,1.0,15.0,0.04596220701932907,0.046092912554740906,0.06509286165237427
1900.0,1.0,16.0,0.037765782326459885,0.058524854481220245,0.06965208798646927
1900.0,1.0,17.0,0.026170773431658745,0.06669117510318756,0.07164232432842255
1900.0,1.0,18.0,0.012918069958686829,0.0694754496216774,0.07066622376441956
1900.0,1.0,19.0,9.020827747008298e-06,0.06664890050888062,0.06664890050888062
1900.0,1.0,20.0,-0.010640822350978851,0.05890803411602974,0.05986136943101883
1900.0,1.0,21.0,-0.017532754689455032,0.04775208234786987,0.050869036465883255
1900.0,1.0,22.0,-0.019843291491270065,0.035221271216869354,0.040426403284072876
1900.0,1.0,23.0,-0.017564984038472176,0.023541582748293877,0.02937234751880169
1900.0,1.0,24.0,-0.011505220085382462,0.014737503603100777,0.018696634098887444
1900.0,1.0,25.0,-0.0031431932002305984,0.010280138812959194,0.010749926790595055
1900.0,1.0,26.0,0.005630087107419968,0.010831802152097225,0.012207613326609135
1900.0,1.0,27.0,0.01284352969378233,0.016131490468978882,0.020619923248887062
1900.0,1.0,28.0,0.01679174415767193,0.025041261687874794,0.03015008196234703
1900.0,1.0,29.0,0.016334641724824905,0.0357455350458622,0.039300937205553055
1900.0,1.0,30.0,0.011098603717982769,0.04606875777244568,0.04738680645823479
1900.0,1.0,31.0,0.0015440882416442037,0.053856316953897476,0.05387844890356064
1900.0,2.0,1.0,-0.0020557576790452003,0.09119665622711182,0.09121982008218765
1900.0,2.0,2.0,-0.015375903807580471,0.0897006094455719,0.09100888669490814
1900.0,2.0,3.0,-0.02830631285905838,0.08297403901815414,0.0876694843173027
1900.0,2.0,4.0,-0.039033565670251846,0.07169263064861298,0.08162997663021088
1900.0,2.0,5.0,-0.046123605221509933,0.05729991942644119,0.07355724275112152
1900.0,2.0,6.0,-0.04877302423119545,0.041759662330150604,0.06420807540416718
1900.0,2.0,7.0,-0.04695078730583191,0.02721674181520939,0.05426902696490288
1900.0,2.0,8.0,-0.04140540584921837,0.01562514528632164,0.044255539774894714
1900.0,2.0,9.0,-0.03353579714894295,0.008407767862081528,0.034573692828416824
1900.0,2.0,10.0,-0.025147907435894012,0.0062071410939097404,0.025902623310685158
1900.0,2.0,11.0,-0.01813899725675583,0.00877080112695694,0.020148204639554024
